"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mtfr1l",1.62485761480559e-43,-0.448830937326383,0,0.156,3.86163660734697e-39
"4931406p16rik",1.62485761480559e-43,-0.559192037490803,0,0.156,3.86163660734697e-39
"gnat1",1.63620807687074e-43,0.519467693159376,0.871,0.728,3.888612115491e-39
"rps27a",2.3462499029818e-43,0.94551000844999,0.723,0.507,5.57609751942655e-39
"sec14l1",2.83856361689526e-43,-0.581193046967342,0.037,0.279,6.74613029191328e-39
"tet3",3.59948194583758e-43,-0.798603481454836,0.016,0.216,8.5545287924776e-39
"elovl2",3.61088204937634e-43,-0.59207128146241,0.032,0.267,8.58162227854782e-39
"fam53b",5.19402461687101e-43,-0.537379674860221,0.031,0.264,1.23441189044556e-38
"mrps14",5.46043331209946e-43,-0.46311459515447,0.04,0.291,1.29772658095356e-38
"rpl11",5.97947893626013e-43,1.09743062799133,0.671,0.454,1.42108296399158e-38
"nfkb1",6.04813398125265e-43,-0.574954024690892,0.012,0.202,1.43739952198451e-38
"dnajc5",6.53980293919079e-43,-0.680929268868934,0.077,0.375,1.55424956652808e-38
"adprh",7.15812176844677e-43,-0.393614014567841,0.009,0.19,1.70119921948906e-38
"msi1",7.25370486560574e-43,-0.763271101603565,0.145,0.51,1.72391549835986e-38
"smim26",7.57767289803636e-43,-0.298678989252737,0,0.154,1.80090974094732e-38
"b230118h07rik",7.57767289803636e-43,-0.474916033737559,0,0.154,1.80090974094732e-38
"bc005561",7.57767289803636e-43,-0.525885778162508,0,0.154,1.80090974094732e-38
"car8",7.57767289803636e-43,-0.574670408247557,0,0.154,1.80090974094732e-38
"rd3l",8.06006181515791e-43,-0.938390112817909,0.047,0.298,1.91555429099043e-38
"trappc9",8.91202405422537e-43,-0.666134831382795,0.027,0.25,2.1180316367272e-38
"strbp",1.06401409157424e-42,-0.661371219847672,0.094,0.416,2.52873589003533e-38
"lrriq1",1.09278706556594e-42,1.69809483263908,0.349,0.002,2.59711774002401e-38
"igsf3",1.14498844597823e-42,-0.455829149521191,0.002,0.161,2.72117954071187e-38
"clpb",1.58652823221303e-42,-0.52506425690667,0.014,0.207,3.77054299667748e-38
"rp11-499p20.2",1.73457392395137e-42,1.7414936346434,0.344,0,4.12238838766282e-38
"pcbp2",2.11306228994089e-42,-0.785371151390613,0.22,0.608,5.02190383827352e-38
"ccdc126",2.31641496076457e-42,-0.571946996454877,0.037,0.276,5.50519179575307e-38
"arl6",2.5950745937178e-42,-0.711967684562636,0.076,0.368,6.16745427942973e-38
"ilf2",3.27815464739749e-42,-0.538570952337894,0.054,0.325,7.79086233500487e-38
"as3mt",3.52754475274404e-42,-0.447270403411551,0,0.151,8.38356285937149e-38
"zfp787",3.52754475274404e-42,-0.472335700518505,0,0.151,8.38356285937149e-38
"mia2",3.52754903358796e-42,-0.429370182996663,0,0.151,8.38357303322513e-38
"1500011b03rik",3.52754903358796e-42,-0.443581480780917,0,0.151,8.38357303322513e-38
"zfp397",3.52754903358796e-42,-0.500017267589228,0,0.151,8.38357303322513e-38
"aes",3.65373915072703e-42,-0.669253852577268,0.103,0.43,8.68347646561785e-38
"rab24",4.84838258863522e-42,-0.548494998714557,0.005,0.173,1.15226660601505e-37
"rpl7a",5.41214691615664e-42,1.31498405666936,0.587,0.332,1.28625083609379e-37
"lyar",5.75590421953829e-42,-0.603855860252161,0.054,0.32,1.36794819681547e-37
"riiad1",7.43285209212495e-42,-0.464474811836906,0.013,0.202,1.76649162821442e-37
"cspg5",9.59589887658504e-42,-0.667743008994889,0.016,0.212,2.2805613270092e-37
"pla2g7",9.68222416192458e-42,-0.51581313666465,0.001,0.154,2.30107739432299e-37
"rps15",9.71010489645193e-42,1.11797687779444,0.681,0.519,2.30770352969077e-37
"zfp91",1.06104644102712e-41,-0.538864933723948,0.033,0.264,2.52168297174506e-37
"gm26518",1.63918922026218e-41,-0.40113199414213,0,0.149,3.8956971008751e-37
"rab7",1.63919120714085e-41,-0.414111840919814,0,0.149,3.89570182289094e-37
"h2-d1",1.63919120714085e-41,-0.472080273595457,0,0.149,3.89570182289094e-37
"retreg3",1.63919120714085e-41,-0.6396368497198,0,0.149,3.89570182289094e-37
"chmp4b",1.75063136033605e-41,-0.407469375951492,0.031,0.257,4.16055049097466e-37
"gemin7",2.629635946491e-41,-0.411430850620232,0.003,0.163,6.2495927904305e-37
"rpl23a",2.92380893631312e-41,1.62846919313561,0.487,0.163,6.94872431804177e-37
"lhfpl3",2.95817486017961e-41,-0.393545659144339,0.017,0.214,7.03039837270286e-37
"spred3",4.11029536203928e-41,-0.718261540148515,0.001,0.151,9.76852795742255e-37
"rab27b",4.46902537761371e-41,-0.442122816056983,0.001,0.151,1.06210857124367e-36
"desi1",5.10049169898663e-41,-0.488854473019693,0.02,0.221,1.21218285718116e-36
"rpl13",5.14906812239569e-41,0.891170632979063,0.719,0.522,1.22372752996856e-36
"etnk1",6.23648914356886e-41,-0.611527023150869,0.077,0.368,1.48216400986058e-36
"mif",7.07522072263815e-41,-0.767172573297811,0.07,0.349,1.68149695694218e-36
"frzb",7.10214965369888e-41,1.61885876301015,0.361,0.019,1.68789688669808e-36
"mamld1",7.39779459906189e-41,-0.734087207287444,0.005,0.168,1.75815986441305e-36
"srsf1",7.40878823537613e-41,-0.576511366319168,0.098,0.416,1.76077261201949e-36
"zfp428",7.6033987529557e-41,-0.394870684274245,0,0.147,1.80702374762745e-36
"zfp266",7.6033987529557e-41,-0.451022952667467,0,0.147,1.80702374762745e-36
"lnpk",7.60340795822982e-41,-0.422045785930351,0,0.147,1.8070259353529e-36
"akr1e1",7.60340795822982e-41,-0.451790954922159,0,0.147,1.8070259353529e-36
"a730017c20rik",7.60340795822982e-41,-0.461864417616425,0,0.147,1.8070259353529e-36
"2810004n23rik",7.60340795822982e-41,-0.474929001138822,0,0.147,1.8070259353529e-36
"mthfd2l",7.60340795822982e-41,-0.478942838447546,0,0.147,1.8070259353529e-36
"mtif2",7.60340795822982e-41,-0.557222105594845,0,0.147,1.8070259353529e-36
"otop3",7.60340795822982e-41,-0.575334988255501,0,0.147,1.8070259353529e-36
"ercc2",7.60340795822982e-41,-0.68115079276251,0,0.147,1.8070259353529e-36
"polr2j3",7.82869621763144e-41,1.72587246854972,0.333,0,1.86056794308229e-36
"slc25a6",1.04679841493223e-40,1.63726923142843,0.332,0,2.48782111292793e-36
"gnb1",1.05679834511685e-40,0.537603196467833,0.757,0.413,2.51158694700471e-36
"mrpl30",1.42760070764105e-40,-0.460423795051672,0.01,0.188,3.39283584177971e-36
"rd3",1.73816185147142e-40,-0.673486954966879,0.113,0.44,4.13091545620697e-36
"btg1",2.60442607975078e-40,1.61606233558324,0.507,0.212,6.18967902113569e-36
"meg3",3.00255174385481e-40,-1.41933182005727,0.104,0.397,7.13586447444533e-36
"rps23",3.23972154448024e-40,1.00108499783863,0.663,0.454,7.69952222261174e-36
"cited2",3.43531300334108e-40,-0.6234154918836,0.06,0.325,8.16436488374041e-36
"epn1",3.47279173424066e-40,-0.726240212363496,0.067,0.339,8.25343683559636e-36
"scd2",3.52055730705335e-40,-0.744934585449853,0,0.144,8.36695649594299e-36
"3222401l13rik",3.52056156429743e-40,-0.412431755482656,0,0.144,8.36696661370927e-36
"mtpn",3.52056156429743e-40,-0.503193541883892,0,0.144,8.36696661370927e-36
"slx1b",3.52056156429743e-40,-0.564425419856886,0,0.144,8.36696661370927e-36
"bco2",4.45038708200511e-40,1.70228065592566,0.328,0,1.05767899390933e-35
"klf9",6.11530626580631e-40,-0.562504031034227,0.031,0.25,1.45336368713153e-35
"ndufs2",7.04870686172369e-40,-0.63273056240454,0.075,0.358,1.67519567275725e-35
"ptov1",8.32911144841519e-40,-0.458463650127918,0.06,0.327,1.97949662683035e-35
"timm13",1.11242904655424e-39,-0.531560812073615,0.072,0.356,2.6437988720408e-35
"snx10",1.21945172443233e-39,-0.479020414633825,0.052,0.308,2.89814896828588e-35
"agr2",1.62720767113821e-39,-0.425726279318659,0,0.142,3.86722175122707e-35
"tceal9",1.6272096365325e-39,-0.367266983814819,0,0.142,3.86722642218313e-35
"nt5c3",1.6272096365325e-39,-0.400425796290997,0,0.142,3.86722642218313e-35
"galnt13",1.77939366316674e-39,-0.51587702063794,0.03,0.245,4.22890697988208e-35
"pkd1",1.92754574274593e-39,-0.690407535936638,0.071,0.346,4.58100521220998e-35
"sys1",2.07058481052188e-39,-0.5119641893475,0.06,0.325,4.9209518606863e-35
"cacna1f",2.1278463185522e-39,-0.720903139471417,0.168,0.529,5.05703956067116e-35
"parvb",2.62703468255516e-39,-0.440569648946564,0.025,0.231,6.24341062656058e-35
"ttc8",2.93626356984072e-39,-0.482288553009657,0.067,0.344,6.97832400008345e-35
"lztfl1",4.22788395246592e-39,-0.535072383250634,0.023,0.224,1.00479890014305e-34
"neurl4",4.42191743194947e-39,-0.751641054182607,0.014,0.192,1.05091289687711e-34
"uqcc3",4.76512626057308e-39,-0.502226951692551,0.066,0.339,1.1324799070878e-34
"add1",4.8071190908475e-39,1.34855081055618,0.568,0.305,1.14245992313082e-34
"krtcap2",5.20819990825141e-39,-0.428826986956305,0.021,0.219,1.23778079019503e-34
"gsk3b",5.97537907841815e-39,-0.60287096991487,0.075,0.356,1.42010859177686e-34
"atp2b1",6.21278390479373e-39,-0.734711574599755,0.209,0.584,1.47653022281328e-34
"zkscan3",6.73517236840526e-39,-0.578172859126616,0.007,0.168,1.60068106507519e-34
"gm5914",7.50767558306966e-39,-0.441508121922477,0,0.139,1.78427417907234e-34
"clca1",7.50768464046635e-39,-0.404360166638583,0,0.139,1.78427633165323e-34
"bmyc",7.50768464046635e-39,-0.423078609826245,0,0.139,1.78427633165323e-34
