"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"tmsb10",2.44045819687693e-09,-0.619042732712451,0.1,0.486,5.7999929506977e-05
"prepl",2.59175091907877e-09,1.4926892872992,0.433,0.043,6.15955523428259e-05
"dkfzp434l187",2.60753297236165e-09,1.45533542956103,0.387,0,6.19706286211469e-05
"bco2",2.60753297236165e-09,1.44922396227324,0.387,0,6.19706286211469e-05
"c11orf58",2.607622023335e-09,1.44628563177358,0.387,0,6.19727450065795e-05
"ntrk2",2.74416887677633e-09,1.3640507253944,0.52,0.114,6.52179175254662e-05
"tbx2",2.76398899529962e-09,-0.756482576071438,0.047,0.357,6.56889624622907e-05
"lpp",2.81649244419944e-09,-0.533908588963102,0.033,0.329,6.69367594288438e-05
"arhgap44",2.85973256550033e-09,1.56412598131825,0.467,0.071,6.79644041516808e-05
"tgfb1i1",2.89686589371309e-09,-0.662634135910553,0.007,0.243,6.88469148299854e-05
"nxf1",3.02622262430962e-09,-0.608374529127445,0.033,0.329,7.19212068893424e-05
"nr2f2",3.15264696796151e-09,-1.01549815208452,0.053,0.371,7.49258078405732e-05
"acin1",3.2320741729823e-09,-0.708656590581234,0.067,0.4,7.68134747950974e-05
"rpl41",3.23330052174361e-09,-0.886690264561722,0.467,0.771,7.68426201997586e-05
"arhgef25",3.3852626776247e-09,-0.597034562560069,0.027,0.3,8.04541527964287e-05
"oxct1",3.5061792426279e-09,-0.684041927109821,0.06,0.386,8.33278558802947e-05
"tcf15",3.5651619377386e-09,-0.755804219310068,0.02,0.286,8.47296386122955e-05
"ap000769.1",3.89820039400383e-09,1.58071610469965,0.38,0,9.2644630563895e-05
"selk",3.89820039400383e-09,1.31859594564823,0.38,0,9.2644630563895e-05
"cpe",4.19221513988705e-09,-0.714301110578313,0.253,0.686,9.96321850145556e-05
"ufm1",4.34589599460903e-09,-0.732761423592142,0.027,0.3,0.000103284564207878
"lima1",4.45540211644699e-09,-1.03790708318466,0.027,0.3,0.000105887086699479
"celf4",4.47984011575529e-09,1.06496735530722,0.607,0.2,0.00010646788019104
"snx18",4.73894001706168e-09,-0.50891507280746,0.02,0.286,0.000112625648445488
"1110008f13rik",4.84486612405454e-09,-0.374371348356864,0,0.214,0.00011514308830428
"1300002e11rik",4.84486612405454e-09,-0.462537277915183,0,0.214,0.00011514308830428
"s100a1",4.84486612405454e-09,-0.462732174787083,0,0.214,0.00011514308830428
"b230118h07rik",4.84486612405454e-09,-0.52834496985111,0,0.214,0.00011514308830428
"fmc1",4.84486612405454e-09,-0.554494889084049,0,0.214,0.00011514308830428
"gm14964",4.84486612405454e-09,-0.558205601149866,0,0.214,0.00011514308830428
"selenot",4.84486612405454e-09,-0.562510738537161,0,0.214,0.00011514308830428
"ube2d2a",4.84486612405454e-09,-0.565569799829859,0,0.214,0.00011514308830428
"mtpn",4.84486612405454e-09,-0.568631251539579,0,0.214,0.00011514308830428
"mtus1",4.84486612405454e-09,-0.574257649621059,0,0.214,0.00011514308830428
"nbdy",4.84486612405454e-09,-0.585241236207875,0,0.214,0.00011514308830428
