"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"crybb1",5.34785513441596e-05,-1.42261968099865,0,0.25,1
"ccnd1",5.36118617533412e-05,0.400104194556829,0.4,0.113,1
"tbc1d12",5.36237704831661e-05,0.507336776371376,0.2,0.024,1
"commd7",5.39442902100241e-05,0.31652533232688,0.327,0.081,1
"ahr",5.44570382882126e-05,0.897011721904305,0.127,0,1
"rangrf",5.44570382882126e-05,0.880293216617417,0.127,0,1
"znf516",5.44570382882126e-05,0.837430772558441,0.127,0,1
"catsper2",5.44570382882126e-05,0.735466140901989,0.127,0,1
"adgre2",5.44570382882126e-05,0.716870932741494,0.127,0,1
"b4galt7",5.44570382882126e-05,0.6755261783456,0.127,0,1
"rp11-626g11.3",5.44570382882126e-05,0.635031132101318,0.127,0,1
"c6orf106",5.44570382882126e-05,0.604032588310056,0.127,0,1
"gosr1",5.44570382882126e-05,0.594896899374175,0.127,0,1
"rp11-138a9.2",5.44570382882126e-05,0.575456752836269,0.127,0,1
"c1orf61",5.44570382882126e-05,0.558092037607163,0.127,0,1
"znf394",5.44570382882126e-05,0.547221469140881,0.127,0,1
"ptch2",5.44570382882126e-05,0.521962917168136,0.127,0,1
"rp11-6e9.5",5.44570382882126e-05,0.521013178885711,0.127,0,1
"podxl",5.44570382882126e-05,0.497246102570753,0.127,0,1
"ddc",5.44570382882126e-05,0.489212345022415,0.127,0,1
"thap5",5.44570382882126e-05,0.487881744666742,0.127,0,1
"thop1",5.44570382882126e-05,0.485041644005673,0.127,0,1
"c15orf40",5.44570382882126e-05,0.470380505441459,0.127,0,1
"tceb1",5.44570382882126e-05,0.462807570809632,0.127,0,1
"fh",5.44570382882126e-05,0.458683933957209,0.127,0,1
"znf7",5.44570382882126e-05,0.447616345420995,0.127,0,1
"rp11-138a9.1",5.44570382882126e-05,0.446265062447709,0.127,0,1
"tcf7",5.44570382882126e-05,0.440759815834854,0.127,0,1
"rpph1",5.44570382882126e-05,0.42572853960604,0.127,0,1
"rnu11",5.44570382882126e-05,0.414622893603402,0.127,0,1
"zscan16-as1",5.44570382882126e-05,0.408752359630227,0.127,0,1
"glipr2",5.44570382882126e-05,0.404857609334956,0.127,0,1
"apoa1bp",5.44570382882126e-05,0.402204961343945,0.127,0,1
"ctd-2562j15.6",5.44570382882126e-05,0.399282041593038,0.127,0,1
"dscr3",5.44570382882126e-05,0.399233641976813,0.127,0,1
"znf721",5.44570382882126e-05,0.39859897803557,0.127,0,1
"kif9",5.44570382882126e-05,0.377401694276892,0.127,0,1
"ebln3",5.44570382882126e-05,0.375264477177881,0.127,0,1
