"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"grik5",1.53943578422574e-155,-0.852373706130669,0.059,0.398,3.6586230847909e-151
"glul",1.95154398226641e-155,-0.960922360534301,0.16,0.605,4.63803942825436e-151
"rgs16",2.59897212144311e-155,1.99397282069598,0.605,0.211,6.1767171438217e-151
"pde1b",4.67746704452191e-155,-0.698089474424403,0,0.214,1.11164681780108e-150
"gm15417",4.63621559518051e-154,-0.539219369557567,0,0.211,1.1018429983506e-149
"ccdc88c",4.63621904916881e-154,-0.753766095937832,0,0.211,1.10184381922546e-149
"gabrr1",5.33865060170375e-154,-0.815378431484986,0.158,0.584,1.26878370200091e-149
"sfr1",6.57433011276756e-153,-0.65839149601903,0.011,0.256,1.56245529460034e-148
"dgkh",6.99106614914319e-153,-0.897874041959781,0.078,0.441,1.66149678100537e-148
"napa",1.0152617258897e-152,-0.803397312480582,0.126,0.535,2.41287101774946e-148
"2510009e07rik",1.24865199505194e-152,-0.627139204511908,0,0.209,2.96754633144044e-148
"sebox",1.24865222739227e-152,-1.14469357576083,0,0.209,2.96754688362046e-148
"swi5",1.3680196147849e-152,-0.695992173100596,0.038,0.34,3.25123541649778e-148
"linc00599",1.41407574656466e-152,2.05129611693207,0.455,0,3.36069241928558e-148
"pde10a",1.85789649033047e-152,-0.655861614846341,0.018,0.28,4.4154767989194e-148
"nyap2",2.15955139946023e-152,-0.715039193443553,0.063,0.406,5.13238985595718e-148
"prph2",3.26609570684003e-152,-0.888056426734685,0.098,0.481,7.76220305687602e-148
"tmx1",6.19692523848473e-152,-0.708494179021574,0.036,0.332,1.47276125217828e-147
"cenpc1",6.47257953025749e-152,-0.702167281126223,0,0.208,1.538273251161e-147
"enah",7.64322706355082e-152,-0.766997514583503,0.018,0.278,1.81648934392349e-147
"kcnab2",1.37362624041857e-151,-0.765443110149754,0.042,0.351,3.26456012297877e-147
"2300009a05rik",3.35257976713039e-151,-0.544560192019036,0,0.207,7.96774107456209e-147
"zcchc7",1.06547552983381e-150,-0.811210663817907,0.039,0.338,2.53220914420303e-146
"maged1",4.69676122465581e-150,-0.806440078222427,0.081,0.437,1.1162322726517e-145
"rrbp1",5.79571979177681e-150,-0.966527226894202,0.044,0.348,1.37741076571368e-145
"qk",8.97385881405144e-150,-0.668902936918848,0,0.205,2.13272728574746e-145
"tox2",1.22075014512499e-149,-0.7214369805478,0.003,0.217,2.90123479490406e-145
"hist1h4c",2.45539670837486e-149,2.18641988714349,0.461,0.014,5.8354958171237e-145
"kdm7a",4.0465651909968e-149,-0.80164094058884,0.029,0.31,9.61706683292301e-145
"mettl26",4.63743530006904e-149,-0.580174817874152,0,0.204,1.10213287341441e-144
