"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"cdh6",1.03420088746532e-11,0.470354713888166,0.253,0,2.45788182915007e-07
"tmem181",1.03420088746532e-11,0.43237114345135,0.253,0,2.45788182915007e-07
"c1s",1.03420088746532e-11,0.408054922149542,0.253,0,2.45788182915007e-07
"c4orf48",1.03420088746532e-11,0.376052551413176,0.253,0,2.45788182915007e-07
"eif3c",1.06491142267407e-11,-1.06742606255114,0.011,0.405,2.5308684871272e-07
"prelp",1.24797626543177e-11,0.69755195014816,0.352,0.036,2.96594039242513e-07
"mok",1.46095188679286e-11,1.42276822698986,0.286,0.012,3.47209825415191e-07
"tgoln1",1.50184210925622e-11,-0.836708388456029,0,0.387,3.56927795685833e-07
"acadl",1.5018629056581e-11,-0.96210701262907,0,0.387,3.56932738158704e-07
"bc028528",1.5018629056581e-11,-1.0127981935076,0,0.387,3.56932738158704e-07
"fam213a",2.00778754667899e-11,1.09243970531962,0.396,0.071,4.77170788343728e-07
"angpt2",2.20962359528741e-11,1.38996900723554,0.396,0.065,5.25139143656006e-07
"flywch2",2.22445921257375e-11,0.417894471407547,0.286,0.012,5.28664976460278e-07
"aw112010",2.36279538676539e-11,-0.907226747213853,0,0.381,5.61541951618664e-07
"irx3",2.36279538676539e-11,-0.983583232227079,0,0.381,5.61541951618664e-07
"serpinb6a",2.36279538676539e-11,-1.00229232374355,0,0.381,5.61541951618664e-07
"mt-nd6",2.36279538676539e-11,-1.17874985974592,0,0.381,5.61541951618664e-07
"cops9",2.36282784572376e-11,-0.98365155495762,0,0.381,5.61549665814709e-07
"islr2",2.36282784572376e-11,-1.17791696406349,0,0.381,5.61549665814709e-07
"rflnb",2.36282784572376e-11,-1.20575698403049,0,0.381,5.61549665814709e-07
"mpc1",2.38131824766241e-11,0.374853488260341,0.264,0.006,5.65944094739448e-07
"armcx3",2.5854334512505e-11,0.814286269877738,0.363,0.048,6.14454114024193e-07
"atox1",2.76359944528021e-11,-1.24521882941097,0.341,0.631,6.56797044165294e-07
"acer2",2.79123250846627e-11,-1.04546544991644,0.044,0.429,6.63364317962093e-07
"tcea2",2.88862782726737e-11,0.394255546324173,0.297,0.018,6.86511289428363e-07
"vamp8",2.95053991881398e-11,-0.907907987239254,0.066,0.458,7.0122531710533e-07
"pcnxl4",3.16070904795447e-11,0.912953499069633,0.242,0,7.5117411233686e-07
"draic",3.16081417683937e-11,1.18211625952579,0.242,0,7.51199097267645e-07
"c17orf89",3.16081417683937e-11,0.76196626418001,0.242,0,7.51199097267645e-07
"il32",3.16081417683937e-11,0.751924201909365,0.242,0,7.51199097267645e-07
"kiaa1429",3.16081417683937e-11,0.749192223369289,0.242,0,7.51199097267645e-07
"c17orf58",3.16081417683937e-11,0.70780896211773,0.242,0,7.51199097267645e-07
"bex5",3.16081417683937e-11,0.698512390396134,0.242,0,7.51199097267645e-07
"shc2",3.16081417683937e-11,0.671664335143005,0.242,0,7.51199097267645e-07
"znf652",3.16081417683937e-11,0.662825897866041,0.242,0,7.51199097267645e-07
"mettl7a",3.16081417683937e-11,0.541776172739181,0.242,0,7.51199097267645e-07
"gpihbp1",3.16081417683937e-11,0.514722208069035,0.242,0,7.51199097267645e-07
"smim10",3.16081417683937e-11,0.469965101601046,0.242,0,7.51199097267645e-07
"c1orf132",3.16081417683937e-11,0.39082529903181,0.242,0,7.51199097267645e-07
"apol1",3.16081417683937e-11,0.328731869775411,0.242,0,7.51199097267645e-07
"magef1",3.16081417683937e-11,0.30727508228794,0.242,0,7.51199097267645e-07
"kiaa0141",3.16081417683937e-11,0.268118961943232,0.242,0,7.51199097267645e-07
"rergl",3.16081417683937e-11,0.255858572101259,0.242,0,7.51199097267645e-07
"ttn",3.44885640909315e-11,0.486419196076985,0.275,0.012,8.19655214185077e-07
"tmem173",3.60522965003463e-11,0.655570708779455,0.275,0.012,8.5681887862723e-07
"2010111i01rik",3.70513552421252e-11,-0.763536410691385,0,0.375,8.80562508684349e-07
"1110004f10rik",3.70513552421252e-11,-0.86284275750204,0,0.375,8.80562508684349e-07
"8430408g22rik",3.70513552421252e-11,-1.48578827703153,0,0.375,8.80562508684349e-07
"sgip1",3.74355109797684e-11,1.27655389954602,0.396,0.065,8.89692353945175e-07
"tax1bp3",4.30310093891179e-11,0.393912677255279,0.275,0.012,1.02267496914178e-06
"s100a6",4.46672051332539e-11,0.956938379935706,0.429,0.083,1.06156079719691e-06
"zscan18",4.72731961983344e-11,0.82451256161134,0.308,0.024,1.12349478084961e-06
"snx29",4.98385224054236e-11,1.37364461101201,0.319,0.03,1.1844623234873e-06
"igfbp4",5.1297214872752e-11,0.755762021098766,0.308,0.024,1.21912960866582e-06
"nr4a1",5.14392391729964e-11,1.61772709014584,0.396,0.083,1.22250495818543e-06
"gm26532",5.79107032250162e-11,-0.852935246697237,0,0.369,1.37630577284573e-06
"taf9",5.85642854010932e-11,0.538795902274936,0.253,0.006,1.39183880684238e-06
"rps24",5.88743190925034e-11,-0.676830311194224,0.648,0.899,1.39920706755244e-06
"perp",6.18498990719285e-11,0.458873846526042,0.33,0.036,1.46992470134345e-06
"idi1",7.07580003725324e-11,0.566371667991941,0.286,0.018,1.68163463685361e-06
"usp11",7.13006371804464e-11,0.503399958442468,0.275,0.012,1.69453094323049e-06
"fscn1",7.2874221204664e-11,0.511303728658996,0.275,0.012,1.73192874115004e-06
"gnai2",7.34126366523338e-11,-0.746594060420312,0.473,0.774,1.74472472267936e-06
"rpl36a",7.55843122278467e-11,-0.989586673172393,0.33,0.673,1.796336764407e-06
"fam46a",7.61239410243817e-11,0.43722275569017,0.275,0.012,1.80916158238545e-06
"dnm1",7.78465917228381e-11,-1.05730789636459,0.132,0.565,1.85010209888497e-06
"echdc2",8.66168191953041e-11,0.680569828448456,0.253,0.006,2.0585353249956e-06
"xrra1",8.8624697423784e-11,0.654323691088509,0.253,0.006,2.10625455897365e-06
"h2afz",8.91085575861446e-11,1.34436814508169,0.549,0.226,2.11775397959231e-06
"eloc",9.02212406741693e-11,-0.81353411492755,0,0.363,2.14419800586231e-06
"nop53",9.02212406741693e-11,-0.909078074478731,0,0.363,2.14419800586231e-06
"hif3a",9.06780613327773e-11,0.277909971064154,0.253,0.006,2.15505480563478e-06
"sulf2",9.27779162829947e-11,0.476853279012506,0.253,0.006,2.20495995838165e-06
"cd200",9.46669931773752e-11,-1.36959598395985,0.165,0.524,2.2498557598535e-06
"marcksl1",9.49252892759866e-11,0.303438548524661,0.253,0.006,2.2559944249331e-06
"linc00599",9.58847012869587e-11,1.87759196478889,0.231,0,2.27879581078586e-06
"mettl12",9.58847012869587e-11,0.880608931438314,0.231,0,2.27879581078586e-06
"spag16",9.58847012869587e-11,0.872865481281456,0.231,0,2.27879581078586e-06
"col6a2",9.58847012869587e-11,0.789886110758658,0.231,0,2.27879581078586e-06
"prkrir",9.58847012869587e-11,0.765907446674978,0.231,0,2.27879581078586e-06
"coa1",9.58847012869587e-11,0.762080595044009,0.231,0,2.27879581078586e-06
"llnlr-245b6.1",9.58847012869587e-11,0.737076591423981,0.231,0,2.27879581078586e-06
"znf274",9.58847012869587e-11,0.693431568225287,0.231,0,2.27879581078586e-06
"herc5",9.58847012869587e-11,0.680420849347561,0.231,0,2.27879581078586e-06
"wbscr22",9.58847012869587e-11,0.665272028880436,0.231,0,2.27879581078586e-06
"tlcd2",9.58847012869587e-11,0.615711903213608,0.231,0,2.27879581078586e-06
"fam73a",9.58847012869587e-11,0.560962911859664,0.231,0,2.27879581078586e-06
"atp10d",9.58847012869587e-11,0.560445975127383,0.231,0,2.27879581078586e-06
"btn3a2",9.58847012869587e-11,0.559279328751643,0.231,0,2.27879581078586e-06
"ociad2",9.58847012869587e-11,0.530670836108404,0.231,0,2.27879581078586e-06
"kiaa0319l",9.58847012869587e-11,0.524808849216667,0.231,0,2.27879581078586e-06
"c12orf10",9.58847012869587e-11,0.512014351562959,0.231,0,2.27879581078586e-06
"mir22hg",9.58847012869587e-11,0.480493356487007,0.231,0,2.27879581078586e-06
"znf644",9.58847012869587e-11,0.480098312781829,0.231,0,2.27879581078586e-06
"kiaa2013",9.58847012869587e-11,0.445906285657824,0.231,0,2.27879581078586e-06
"slc2a4rg",9.58847012869587e-11,0.440139741634791,0.231,0,2.27879581078586e-06
"tmem167a",9.58847012869587e-11,0.438896640964942,0.231,0,2.27879581078586e-06
"mmp24-as1",9.58847012869587e-11,0.43340301659194,0.231,0,2.27879581078586e-06
"bre",9.58847012869587e-11,0.4126082131659,0.231,0,2.27879581078586e-06
"stx4",9.58847012869587e-11,0.38615898471469,0.231,0,2.27879581078586e-06
"cxorf36",9.58847012869587e-11,0.377480775584078,0.231,0,2.27879581078586e-06
"gyg1",9.58847012869587e-11,0.263618958853748,0.231,0,2.27879581078586e-06
"smim3",1.13865407172828e-10,0.721388328841297,0.374,0.06,2.70612526686942e-06
"spry1",1.14746499878701e-10,1.68186207850689,0.516,0.196,2.7270653161172e-06
"tmem234",1.18520481314298e-10,-0.968354460455604,0.055,0.423,2.8167577589156e-06
"s1pr1",1.19751427461903e-10,-1.49307667653774,0.308,0.601,2.8460124250596e-06
"rcvrn",1.23355394298425e-10,1.3575330073081,0.505,0.149,2.93166430089636e-06
"bhlhe41",1.32404062262174e-10,1.60167219941017,0.308,0.03,3.14671494372284e-06
"nbdy",1.40107273101414e-10,-0.849211387087344,0,0.357,3.3297894525282e-06
"h2-q6",1.40109137938644e-10,-0.778131089561543,0,0.357,3.32983377224981e-06
"bod1l",1.40109137938644e-10,-0.946983504704496,0,0.357,3.32983377224981e-06
"eef2",1.53737679431708e-10,-0.897160110593027,0.396,0.738,3.65372968937398e-06
"eps8",1.56749315052843e-10,1.10801360522245,0.418,0.083,3.72530422154588e-06
"qpct",1.60271891509386e-10,0.390822319717959,0.286,0.018,3.80902177361208e-06
"nrn1",1.63465268521914e-10,0.414682151494897,0.264,0.012,3.8849155716918e-06
"eogt",1.7079801349495e-10,-0.995493283680258,0.099,0.47,4.05918558872098e-06
"gpd2",1.73768159258549e-10,-1.06841662870937,0.066,0.429,4.12977407293867e-06
"adamts4",1.76109492831971e-10,1.01038737310873,0.242,0.006,4.18541820664462e-06
"pdlim2",1.77766486986554e-10,0.690506349029695,0.418,0.089,4.22479832972244e-06
"vtn",1.99216642605097e-10,-2.76457510213547,0.044,0.405,4.73458272815273e-06
"ppara",2.16500080593073e-10,1.45362503316275,0.242,0.006,5.14534091537498e-06
"snhg20",2.16889537211529e-10,-0.89531857594655,0,0.351,5.15459674136919e-06
"rpsa",2.20109421383423e-10,-0.760865466647343,0.516,0.851,5.23112050859843e-06
"hnrnpa1",2.23129948431041e-10,1.45942759786643,0.495,0.179,5.30290635441213e-06
"nfil3",2.26635505910022e-10,0.513205040102599,0.242,0.006,5.38621943345758e-06
"map3k13",2.3135596828753e-10,0.358839516785012,0.264,0.012,5.49840594232145e-06
"ak1",2.37233908516097e-10,0.813754834619512,0.242,0.006,5.63810106979355e-06
"epb41l4a",2.54044897049034e-10,0.582331784939313,0.242,0.006,6.03763102326733e-06
"phpt1",2.69717007165151e-10,0.877806723868833,0.385,0.071,6.41009439228697e-06
"selenbp1",2.86870455417729e-10,0.362942040451252,0.319,0.036,6.81776324345774e-06
"rp11-395g23.3",2.88750339558033e-10,1.15749069450744,0.22,0,6.86244056993622e-06
"znf844",2.88750339558033e-10,0.886212757591691,0.22,0,6.86244056993622e-06
"c5orf15",2.88750339558033e-10,0.874699947813753,0.22,0,6.86244056993622e-06
"psmd5-as1",2.88750339558033e-10,0.792451010565889,0.22,0,6.86244056993622e-06
"tnfrsf10d",2.88750339558033e-10,0.583245219000767,0.22,0,6.86244056993622e-06
"zscan16-as1",2.88750339558033e-10,0.573827020609948,0.22,0,6.86244056993622e-06
"supt16h",2.88750339558033e-10,0.564191801121142,0.22,0,6.86244056993622e-06
"znf394",2.88750339558033e-10,0.553925255410437,0.22,0,6.86244056993622e-06
"nup58",2.88750339558033e-10,0.483563579784893,0.22,0,6.86244056993622e-06
"c15orf61",2.88750339558033e-10,0.454153148314071,0.22,0,6.86244056993622e-06
"apoa1bp",2.88750339558033e-10,0.447617507875289,0.22,0,6.86244056993622e-06
"c14orf119",2.88750339558033e-10,0.394336146858557,0.22,0,6.86244056993622e-06
"npipb5",2.88750339558033e-10,0.384680314489903,0.22,0,6.86244056993622e-06
"ccdc53",2.88750339558033e-10,0.374791777670016,0.22,0,6.86244056993622e-06
"gucy1b3",2.88750339558033e-10,0.374043260387443,0.22,0,6.86244056993622e-06
"gbas",2.88750339558033e-10,0.368426563049572,0.22,0,6.86244056993622e-06
"c9orf78",2.88750339558033e-10,0.342989487842556,0.22,0,6.86244056993622e-06
"il4r",2.88750339558033e-10,0.334894622905104,0.22,0,6.86244056993622e-06
"rp11-553l6.5",2.88750339558033e-10,0.265493508116354,0.22,0,6.86244056993622e-06
"fam127a",2.88750339558033e-10,0.264910741129264,0.22,0,6.86244056993622e-06
"c7orf73",2.88750339558033e-10,0.254128231903049,0.22,0,6.86244056993622e-06
"fam127b",2.88750339558033e-10,0.25062000160527,0.22,0,6.86244056993622e-06
"ablim1",2.96351778529458e-10,-0.976529314056864,0.385,0.685,7.04309636853109e-06
"pmf1",2.96827706767259e-10,0.405515999261798,0.275,0.018,7.05440727903067e-06
"rims2",3.13432781208114e-10,1.86250804444286,0.385,0.071,7.44904347819204e-06
"emp1",3.25514568766686e-10,0.955543855745139,0.33,0.048,7.73617924130907e-06
"nxpe4",3.34695016566903e-10,-0.707740050449325,0,0.345,7.95436176372903e-06
"zfp706",3.34699402130516e-10,-0.818593912408746,0,0.345,7.95446599103385e-06
