"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"a230057d06rik",5.77008366426695e-36,-1.11926752399838,0,0.301,1.37131808364968e-31
"etnk1",8.86791844808785e-36,-1.12710005065144,0.073,0.514,2.10754949837256e-31
"tmem191c",1.57542512705734e-35,-0.9318355302287,0.017,0.364,3.74415535696446e-31
"swi5",2.20833161336366e-35,-0.859114110553996,0.019,0.37,5.24832091232008e-31
"nsd3",2.9690694846261e-35,-0.783118236453013,0,0.295,7.05629053716239e-31
"pdxp",2.9690694846261e-35,-0.998624867026906,0,0.295,7.05629053716239e-31
"ncald",5.24796352437023e-35,-1.05707630844666,0.01,0.335,1.24723101120183e-30
"dnm3",7.46315150535764e-35,-1.12887628922103,0.12,0.601,1.7736925867633e-30
"adprh",8.10280597692781e-35,-0.919244614111153,0.002,0.301,1.92571286847666e-30
"retreg2",1.52049378121856e-34,-0.842047967744745,0,0.289,3.61360552044403e-30
"hdgfl3",1.52049378121856e-34,-0.844975325440782,0,0.289,3.61360552044403e-30
"mt1",1.52049378121856e-34,-1.02138204370825,0,0.289,3.61360552044403e-30
"polb",3.20999211747573e-34,-0.841418305402162,0.015,0.347,7.62886726639282e-30
"matk",5.8649225440765e-34,-1.05401711853706,0.008,0.318,1.39385749182522e-29
"shank1",7.45090684717998e-34,-0.918691577561309,0.023,0.37,1.77078252130079e-29
"4930402h24rik",7.74963892529727e-34,-1.00579433748746,0,0.283,1.84177918698615e-29
"ai314180",7.74969778186467e-34,-0.949851037769247,0,0.283,1.84179317483796e-29
"bod1l",7.74969778186467e-34,-0.994764191927576,0,0.283,1.84179317483796e-29
"fam193b",8.02000687461022e-34,-1.08428413879186,0.056,0.462,1.90603483381986e-29
"bscl2",1.0629200649184e-33,-1.02817963668258,0.004,0.301,2.52613582628506e-29
"btg1",1.42467204694397e-33,2.21056573303839,0.664,0.191,3.38587558676704e-29
"gm1673",3.93125024932369e-33,-0.939870797085892,0,0.277,9.34300934254269e-29
"selenof",3.93125024932369e-33,-0.959372072591012,0,0.277,9.34300934254269e-29
"elob",3.93125024932369e-33,-1.0577132259755,0,0.277,9.34300934254269e-29
"fstl5",1.02118792664812e-32,-0.937344235648992,0.033,0.393,2.42695522647192e-28
"zcchc7",1.13885383611041e-32,-0.911451663921963,0.05,0.439,2.70660002690001e-28
"eef1g",1.98485739671636e-32,-0.81736269019952,0,0.272,4.7172120890361e-28
"a430106g13rik",1.98485739671636e-32,-0.97524660027127,0,0.272,4.7172120890361e-28
