"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"zfp160",6.61285106888573e-71,-0.378828172046532,0,0.108,2.65909354330964e-66
"smyd2",8.35099590422179e-71,-0.432078980838823,0.023,0.186,3.35801896304662e-66
"ube4b",8.39083558532405e-71,-0.437898343064695,0.037,0.222,3.37403889721465e-66
"slc24a4",1.00844298324384e-70,1.33210770954161,0.491,0.243,4.05505007992182e-66
"pacsin1",1.16691543316641e-70,-0.409321433572208,0.177,0.493,4.69228364830544e-66
"gns",1.19217121660003e-70,-0.427980560737028,0.029,0.201,4.7938396790704e-66
"nacc2",1.3553259588364e-70,-0.335759009744029,0.004,0.125,5.44990121307706e-66
"bdnf",1.36913490389134e-70,-0.460042637010671,0.037,0.221,5.50542836203747e-66
"gjd2",1.4387261427623e-70,-0.53577085065003,0.022,0.182,5.78526169266147e-66
"ndufa13",1.90979801632165e-70,-0.470884257444868,0.148,0.428,7.679488803431e-66
"nr1d1",2.3219727407267e-70,-0.487322384049425,0.169,0.474,9.33688458773613e-66
"ppt2",2.3592895612947e-70,-0.4120538827868,0.034,0.212,9.48693925492212e-66
"akap11",2.72302225570358e-70,-0.466755489358869,0.168,0.472,1.09495447924097e-65
"4632415l05rik",2.81255100138481e-70,-0.303665024793194,0,0.107,1.13095488316685e-65
"au041133",2.81255100138481e-70,-0.327231576167674,0,0.107,1.13095488316685e-65
"gcn1l1",2.81255100138481e-70,-0.419275070986939,0,0.107,1.13095488316685e-65
"4930430f08rik",2.812551534597e-70,-0.286175914854256,0,0.107,1.1309550975768e-65
"fry",4.59976565647353e-70,-0.509366436671928,0.107,0.364,1.84961176812457e-65
"epha3",5.94139249063754e-70,-0.548126098799777,0.016,0.165,2.38909333441026e-65
"rps4y1",6.36595473358125e-70,1.18891796500662,0.247,0,2.55981405792036e-65
"ckap5",6.40686842276352e-70,-0.366010350923451,0.056,0.265,2.57626586147744e-65
"slc15a2",8.78571447603896e-70,-0.439743766159183,0.002,0.115,3.53282364796003e-65
"mir124-2hg",9.24980903386676e-70,-0.451133206811351,0.663,0.869,3.71944071060816e-65
"rnd2",1.15587808552932e-69,-0.429949825688853,0.007,0.133,4.64790136972196e-65
"rpl23",1.18646682557237e-69,-0.6936924808837,0.283,0.56,4.77090175230905e-65
"mt-atp6",1.19538645257779e-69,-0.452252493731872,0,0.106,4.80676846446054e-65
"gm20754",1.19538667909239e-69,-0.270027796749181,0,0.106,4.80676937529843e-65
"dand5",1.19538667909239e-69,-0.404273743050866,0,0.106,4.80676937529843e-65
"1110051m20rik",1.19538713212158e-69,-0.302515192306039,0,0.106,4.8067711969741e-65
"c130071c03rik",1.19538713212158e-69,-0.366162025313665,0,0.106,4.8067711969741e-65
"rwdd4a",1.19538735863632e-69,-0.291147610865366,0,0.106,4.8067721078125e-65
"b230217c12rik",1.19538735863632e-69,-0.321059755204427,0,0.106,4.8067721078125e-65
"cttnbp2",1.35171086718868e-69,-0.522349445194157,0.064,0.278,5.43536456805239e-65
"snap91",1.40439257629703e-69,-0.480460400888325,0.125,0.395,5.64720298854799e-65
"paqr9",1.77566836406081e-69,-0.499639301575042,0.02,0.173,7.1401400587249e-65
"spag9",1.86604947628921e-69,-0.464714162668657,0.222,0.55,7.50357154910655e-65
"pxylp1",3.7963731552541e-69,-0.37013156478283,0.012,0.15,1.52655960945922e-64
"foxp4",3.9628567434193e-69,-0.445675320061999,0.016,0.16,1.59350432509633e-64
"dlc1",4.08673177345574e-69,-0.438870021738741,0.001,0.11,1.64331571342429e-64
"hist1h4i",5.07707572491395e-69,-0.314887973243435,0,0.105,2.04154291974515e-64
"gm49336",5.0770766865039e-69,-0.354599973171768,0,0.105,2.04154330641008e-64
"ubc",5.90002200441786e-69,1.05996022174823,0.612,0.499,2.37245784819646e-64
"sipa1l1",6.30852276337341e-69,-0.388468167028803,0.043,0.235,2.53672008838008e-64
"spred1",6.47599829599113e-69,-0.469477641168958,0.03,0.2,2.60406367480099e-64
"alkbh6",8.38324345436373e-69,-0.290598915430072,0.015,0.158,3.3709860254342e-64
"smarcc2",9.36332711522167e-69,-0.411393308921354,0.139,0.422,3.76508746630179e-64
"nme3",1.01845923582431e-68,1.26869350239635,0.265,0.014,4.09532643317314e-64
"h1fx",1.15328951267873e-68,1.21597014084887,0.256,0.008,4.63749245943245e-64
"pttg1",1.20117511334966e-68,-0.284251154346517,0.01,0.142,4.83004524829032e-64
"leng8",2.06594224682155e-68,-0.438410322339628,0.27,0.62,8.30736036869412e-64
"abraxas2",2.15484480601192e-68,-0.29673395172387,0,0.104,8.66484644945452e-64
"prox1os",2.15484521393755e-68,-0.261292956159656,0,0.104,8.66484808976429e-64
"zfp771",2.15484521393755e-68,-0.29571270073237,0,0.104,8.66484808976429e-64
"stx4a",2.15484521393755e-68,-0.372254852576115,0,0.104,8.66484808976429e-64
"2700097o09rik",2.15484521393755e-68,-0.38450376058386,0,0.104,8.66484808976429e-64
"pgk1",3.33435488070975e-68,1.36119349559679,0.369,0.112,1.3407774410822e-63
"clip3",3.47877865603944e-68,-0.517173526559794,0.079,0.302,1.39885168538002e-63
"tnik",3.77362057533904e-68,-0.498194772075793,0.023,0.179,1.51741056954958e-63
"r3hdm1",3.78601154073298e-68,-0.366751766046856,0.101,0.356,1.52239310064414e-63
"zfp91",4.09685004469387e-68,-0.416370212177215,0.09,0.33,1.64738437147185e-63
"smg9",4.49509720736292e-68,-0.582161045097453,0.038,0.216,1.8075235380527e-63
"znf638",5.57004657893862e-68,1.29989385245076,0.241,0,2.23977142985701e-63
"dgkg",5.80715956717417e-68,-0.390001543698265,0,0.105,2.33511693355641e-63
"mat2a",7.65449207270323e-68,-0.379925631148304,0.169,0.467,3.0779478073547e-63
"a430106g13rik",9.13936908050174e-68,-0.46677792819071,0,0.103,3.67503170096055e-63
"zfp637",9.13937080980139e-68,-0.270383696753411,0,0.103,3.67503239632924e-63
"0610037l13rik",9.13937080980139e-68,-0.427117419847646,0,0.103,3.67503239632924e-63
"eif3j1",9.13937253910137e-68,-0.294091417596018,0,0.103,3.67503309169805e-63
"zfp68",9.13937253910137e-68,-0.324494240119321,0,0.103,3.67503309169805e-63
"1110032a03rik",9.1393742684011e-68,-0.32838299225024,0,0.103,3.67503378706677e-63
"ap2a2",1.46167169678729e-67,-0.385680708229411,0.112,0.374,5.87752805995136e-63
"tro",1.46385278336987e-67,-0.405911558311974,0.011,0.144,5.88629842720857e-63
"sec14l1",1.54761964632407e-67,-0.343024372025196,0.077,0.306,6.22313335983374e-63
"dab2ip",1.58466896939445e-67,-0.30074552880905,0.055,0.26,6.37211239283203e-63
"cdk11b",2.15941693617306e-67,-0.357198865663491,0.081,0.316,8.68323144204551e-63
"tmem57",2.28224786071188e-67,-0.423001033111202,0.082,0.311,9.17714687270855e-63
"gng13",2.62749724998586e-67,-1.39740489157521,0.347,0.596,1.05654291919181e-62
"epha4",3.08761807774766e-67,-0.526472648261667,0.024,0.18,1.24156210524311e-62
"prpf39",3.33176463769606e-67,-0.397627051505745,0.049,0.244,1.33973587846396e-62
"trafd1",3.52193191700798e-67,-0.416988359509961,0.017,0.161,1.41620404314808e-62
"tmod2",3.8323003022617e-67,-0.428089098588951,0.058,0.264,1.54100627454245e-62
"zfp263",3.87360166343992e-67,-0.329803802271592,0,0.102,1.55761396488583e-62
"zfp523",3.87360239602542e-67,-0.329422057537911,0,0.102,1.55761425946578e-62
"selenoo",3.87360312861058e-67,-0.392411366879195,0,0.102,1.5576145540456e-62
"carmil3",3.87360312861058e-67,-0.438493299948294,0,0.102,1.5576145540456e-62
"pfkl",3.97870518814391e-67,-0.405302563704002,0.182,0.486,1.59987714320455e-62
"aplp2",5.49892444169107e-67,0.752887086774501,0.759,0.7,2.21117250724839e-62
"slc38a9",5.7169492103716e-67,-0.457349965919796,0.021,0.173,2.29884244698252e-62
"mob1b",7.55548513360589e-67,-0.386707943311282,0.005,0.123,3.03813612707426e-62
"podxl2",7.7427913327599e-67,-0.520341420731544,0.211,0.52,3.11345382281608e-62
"hrh3",8.01581129107615e-67,-0.472553611140969,0.01,0.139,3.22323787825463e-62
"anapc1",8.17466071950543e-67,-0.421917643844173,0.028,0.191,3.28711282192033e-62
"timm13",9.61534424897255e-67,-0.422655414786348,0.113,0.368,3.86642607595435e-62
"dennd5b",1.14632704471637e-66,-0.428904057032933,0.104,0.354,4.60949567950898e-62
"map7d2",1.34166442387602e-66,-0.397226791098324,0.072,0.29,5.39496681484787e-62
"rab9",1.64063693654713e-66,-0.262241093313862,0,0.101,6.59716518554967e-62
"mfap1b",1.64063693654713e-66,-0.282980950587863,0,0.101,6.59716518554967e-62
"zfp639",1.64063724667819e-66,-0.317205559046461,0,0.101,6.59716643261767e-62
"slx1b",1.64063724667819e-66,-0.401400019264196,0,0.101,6.59716643261767e-62
"tram1l1",1.94254327465931e-66,-0.268973955718948,0.021,0.173,7.81116076173255e-62
"npc1",2.21643695094942e-66,-0.349051078904287,0.013,0.15,8.9125146234627e-62
"fam13c",2.39370396443765e-66,-0.45810119481404,0.021,0.173,9.62532301140024e-62
"cdr1",3.24474322706208e-66,1.34978888373316,0.246,0.006,1.30474369903393e-61
"bcat1",3.62518840392004e-66,1.4629168328442,0.329,0.071,1.45772450910029e-61
"epha10",3.74164391775859e-66,-0.532125030417319,0.014,0.15,1.50455243576991e-61
"adamts5",4.07674106278259e-66,-0.583150482642968,0.035,0.203,1.63929834875551e-61
"myo9b",4.64213457644202e-66,-0.538438123974133,0.022,0.174,1.8666487345331e-61
"zer1",5.28661767865917e-66,-0.548375156259175,0.052,0.246,2.12580183476564e-61
"stim1",6.88872879082613e-66,-0.378311944384105,0.014,0.15,2.7700267340791e-61
"cacna2d2",7.81407197818946e-66,-0.664638355366911,0.015,0.154,3.14211648314976e-61
"hlf",8.38224329253648e-66,-0.488109093726646,0.248,0.573,3.37058385036185e-61
"tpp1",9.09462134368164e-66,-0.360350555480655,0.059,0.264,3.65703818850782e-61
"ablim1",1.15595892120583e-65,-0.787564076277007,0.129,0.369,4.64822641806078e-61
