"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"mtss1",3.14091652929816e-20,-0.719751282176977,0,0.32,1.26299394559608e-15,44.9071872142403,"CC","mtss1"
"d5ertd579e",3.14091652929816e-20,-0.734579181218456,0,0.32,1.26299394559608e-15,44.9071872142403,"CC","d5ertd579e"
"thoc7",3.48101740641377e-20,-0.450874503293977,0.048,0.457,1.39975190929304e-15,44.804377250658,"CC","thoc7"
"gemin7",3.80817335477831e-20,-0.569647222784213,0.004,0.331,1.53130458768991e-15,44.7145522201491,"CC","gemin7"
"rps24",4.02130277867643e-20,-0.737937928936867,0.299,0.834,1.61700606033358e-15,44.6600959354531,"CC","rps24"
"atp5d",4.19568004787181e-20,-0.578035699172725,0.117,0.617,1.68712490404973e-15,44.617646423953,"CC","atp5d"
"lpcat2",4.53629951798335e-20,-0.462714022901253,0.017,0.371,1.82409139917628e-15,44.539590264334,"CC","lpcat2"
"aig1",4.62366372209535e-20,-0.563704245015603,0.048,0.451,1.85922141929176e-15,44.5205144556157,"CC","aig1"
"rnf187",4.65512782628035e-20,-0.435152213912507,0.065,0.491,1.87187345022559e-15,44.5137324895331,"CC","rnf187"
"rnf6",4.68733893374711e-20,-0.474294023648075,0.056,0.474,1.88482585864905e-15,44.5068368299753,"CC","rnf6"
"snx3",5.21224593736098e-20,-0.517334853276082,0.048,0.451,2.09589621387222e-15,44.4006910149777,"CC","snx3"
"sag",5.8766284747205e-20,-0.636375510892383,0.853,0.96,2.36305107596986e-15,44.2807186510735,"CC","sag"
"cct8",5.94796772790796e-20,-0.430193098599603,0.082,0.537,2.39173730306907e-15,44.2686522570025,"CC","cct8"
"rbm7",6.01645405916618e-20,-0.522458131655571,0.026,0.394,2.41927634173131e-15,44.2572038008212,"CC","rbm7"
"srgap3",6.1780845725436e-20,1.8867364070644,0.446,0.051,2.48426958746551e-15,44.2306935761704,"CC","srgap3"
"fam114a2",6.31921801376876e-20,-0.70922012293972,0.013,0.354,2.54102075551656e-15,44.2081063913762,"CC","fam114a2"
"macf1",6.62928527965733e-20,1.2218296122679,0.762,0.72,2.66570190380301e-15,44.1602048624507,"CC","macf1"
"tmem106c",6.9312350406039e-20,-0.418961104060837,0.065,0.497,2.78711892217723e-15,44.1156638460204,"CC","tmem106c"
"zranb1",7.13398337956672e-20,-0.536143080331016,0.095,0.566,2.86864605675757e-15,44.0868321026965,"CC","zranb1"
"sptbn5",7.30103430445622e-20,1.79201013845334,0.381,0,2.93581890416489e-15,44.0636858362211,"CC","sptbn5"
"rps17",7.3205080338664e-20,-0.443628676393402,0.121,0.611,2.94364948549802e-15,44.0610221307823,"CC","rps17"
"agr2",7.5376037510242e-20,-0.748970679787124,0,0.314,3.03094584432434e-15,44.0317975332757,"CC","agr2"
"gm16286",7.53768410499389e-20,-0.516231151247631,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","gm16286"
"ten1",7.53768410499389e-20,-0.529147243715091,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","ten1"
"nabp2",7.53768410499389e-20,-0.586306636884749,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","nabp2"
"ier3",7.53768410499389e-20,-0.666608944549763,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","ier3"
"clca1",7.53768410499389e-20,-0.723067937064446,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","clca1"
"ac146911.1",7.53768410499389e-20,-0.90676406231517,0,0.314,3.03097815545909e-15,44.0317868729194,"CC","ac146911.1"
"rangap1",7.8799625339669e-20,-0.526530853908766,0.017,0.366,3.16861173453343e-15,43.9873787105952,"CC","rangap1"
"mrpl54",7.89554855458104e-20,-0.357438909956347,0.061,0.486,3.17487902928258e-15,43.9854027333228,"CC","mrpl54"
"rsrp1",7.93160821096803e-20,-0.679675059465731,0.264,0.834,3.18937897771236e-15,43.9808460439168,"CC","rsrp1"
"gtpbp2",8.29738620098814e-20,-0.601792972102754,0.022,0.377,3.33646196527934e-15,43.9357613102183,"CC","gtpbp2"
"rs1",9.06695688749577e-20,-0.683292354713543,0.294,0.88,3.64591403403092e-15,43.8470651661091,"CC","rs1"
"taf10",9.46541079471651e-20,-0.404682980700156,0.048,0.451,3.80613633466346e-15,43.8040576747123,"CC","taf10"
"atp2b1",9.72650348516185e-20,-0.750090072659386,0.273,0.846,3.91112431641843e-15,43.7768473823091,"CC","atp2b1"
"klf9",1.01698470480182e-19,-0.461370921214308,0.043,0.434,4.0893971964786e-15,43.7322746894598,"CC","klf9"
"ier3ip1",1.02168096840547e-19,-0.405969027451714,0.048,0.446,4.10828134205525e-15,43.7276674878255,"CC","ier3ip1"
"cox6c",1.05944096463696e-19,-0.873129898461437,0.255,0.726,4.26011806290166e-15,43.6913753897348,"CC","cox6c"
"cct5",1.08085710145948e-19,-0.542613793125529,0.052,0.457,4.3462344906787e-15,43.6713624280321,"CC","cct5"
"suclg1",1.08894617021363e-19,-0.475857020215086,0.069,0.503,4.37876144504602e-15,43.6639063546319,"CC","suclg1"
"smtn",1.15694245293523e-19,1.89779783966999,0.394,0.011,4.65218129749784e-15,43.6033360580841,"CC","smtn"
"psmc5",1.18175982616411e-19,-0.506224463519559,0.069,0.503,4.75197443698852e-15,43.582112061304,"CC","psmc5"
"stxbp1",1.18317234995379e-19,-0.754728120529669,0.281,0.857,4.75765433639917e-15,43.5809175036148,"CC","stxbp1"
"ncl",1.20041939617807e-19,-0.697265295570146,0.165,0.663,4.82700643397166e-15,43.5664457743376,"CC","ncl"
"immt",1.29996748608928e-19,-0.51180705736521,0.082,0.531,5.22729925831359e-15,43.4867775134327,"CC","immt"
"ss18l2",1.31214615822441e-19,-0.42719943131525,0.03,0.4,5.27627091683617e-15,43.4774526814839,"CC","ss18l2"
"ftl",1.31472634342709e-19,2.00805086764064,0.377,0,5.28664609955469e-15,43.4754882267715,"CC","ftl"
"ipo5",1.34660747270726e-19,-0.64754099633443,0.013,0.349,5.41484330850314e-15,43.4515283204585,"CC","ipo5"
"mrpl30",1.56623875908026e-19,-0.498513452724527,0.009,0.337,6.29800267413765e-15,43.3004397166484,"CC","mrpl30"
"trappc6b",1.62123130151286e-19,-0.425355631559368,0.069,0.503,6.51913318651338e-15,43.2659308436817,"CC","trappc6b"
"zdhhc16",1.64014941332207e-19,-0.680451884200234,0.013,0.349,6.59520480590939e-15,43.2543294235164,"CC","zdhhc16"
"nedd8",1.67202686125994e-19,-0.513076573560611,0.139,0.657,6.72338721181233e-15,43.2350801870066,"CC","nedd8"
"ndn",1.76801096508004e-19,-0.492212915625454,0.065,0.486,7.10934889168335e-15,43.1792616007223,"CC","ndn"
"gt(rosa)26sor",1.80153033429461e-19,-0.523951080792703,0,0.309,7.24413362723207e-15,43.1604802774687,"CC","gt(rosa)26sor"
"mtch2",1.80153033429461e-19,-0.597281216728378,0,0.309,7.24413362723207e-15,43.1604802774687,"CC","mtch2"
"bc003331",1.80153033429461e-19,-0.617408784210538,0,0.309,7.24413362723207e-15,43.1604802774687,"CC","bc003331"
"4933434e20rik",1.80153033429461e-19,-0.715478876020019,0,0.309,7.24413362723207e-15,43.1604802774687,"CC","4933434e20rik"
"cdk11b",1.85143517457249e-19,-0.495140068466342,0.048,0.446,7.44480598047345e-15,43.1331556585115,"CC","cdk11b"
"ggnbp2",1.85433803229895e-19,-0.464369489094959,0.069,0.497,7.4564786616773e-15,43.1315889904192,"CC","ggnbp2"
"mrpl48",1.85487741209753e-19,-0.483957032006119,0.013,0.349,7.45864756178537e-15,43.1312981581338,"CC","mrpl48"
"chchd7",1.87009771708098e-19,-0.424509170717288,0.035,0.411,7.51984993015434e-15,43.1231260822621,"CC","chchd7"
"ndrg3",1.95191860604831e-19,-0.468166071571067,0.117,0.6,7.84885990678084e-15,43.0803039774865,"CC","ndrg3"
"top1",2.31135852391379e-19,-0.349498049998091,0.121,0.617,9.29420376050975e-15,42.9112813096291,"CC","top1"
"fam104a",2.31271599788617e-19,-0.540225896705102,0.022,0.371,9.29966229910007e-15,42.910694176353,"CC","fam104a"
"opn1lw",2.36078620035459e-19,2.65307797389566,0.372,0,9.49295739024585e-15,42.8901220675833,"CC","opn1lw"
"glrx2",2.49457763249284e-19,-0.519448959252556,0.017,0.36,1.0030946118017e-14,42.8349973375878,"CC","glrx2"
"igsf3",2.60755012750013e-19,-0.573974685259381,0.004,0.32,1.04852198176908e-14,42.790705634826,"CC","igsf3"
"gabrb3",2.61270039636754e-19,-0.501090806690377,0.074,0.509,1.05059295638335e-14,42.7887324457942,"CC","gabrb3"
"rnf123",2.64131495036708e-19,-0.6271334006858,0.004,0.32,1.0620991546921e-14,42.7778398864727,"CC","rnf123"
"cbr1",2.67548484586978e-19,-0.460057008032993,0.004,0.32,1.0758392113727e-14,42.7649861521704,"CC","cbr1"
"dbi",2.7553894182703e-19,-0.711582390498911,0.052,0.44,1.10796963898067e-14,42.7355579846265,"CC","dbi"
"nap1l1",2.78013199510375e-19,-0.542334040271387,0.165,0.697,1.11791887655117e-14,42.7266183600583,"CC","nap1l1"
"atp6v1a",2.81670232944961e-19,-0.566341001275891,0.1,0.56,1.13262417369498e-14,42.713549952923,"CC","atp6v1a"
"srpk2",2.90313924995141e-19,-0.558635760844044,0.117,0.6,1.16738132379796e-14,42.6833241153918,"CC","srpk2"
"cdc123",2.96293718651302e-19,-0.495735606330398,0.022,0.371,1.19142667206875e-14,42.662935697807,"CC","cdc123"
"tspan5",2.99350262264468e-19,-0.468888488079777,0.061,0.474,1.20371733959165e-14,42.6526726193908,"CC","tspan5"
"fundc2",3.29661306800271e-19,-0.542165185730396,0.039,0.417,1.32560108077457e-14,42.5562211684946,"CC","fundc2"
"ndufa10",4.03896789173138e-19,-0.560448588185301,0.147,0.669,1.6241093789441e-14,42.3531275798961,"CC","ndufa10"
"echdc2",4.10500379906198e-19,1.97690457760074,0.377,0.006,1.65066307764081e-14,42.336910098511,"CC","echdc2"
"hspa1a",4.16691443957952e-19,2.23191791129922,0.524,0.16,1.67555796529932e-14,42.3219409475156,"CC","hspa1a"
"cobll1",4.22737395661747e-19,1.8614953265776,0.368,0,1.69986934169545e-14,42.3075357806519,"CC","cobll1"
"znf207",4.22749496229545e-19,1.77973771094857,0.368,0,1.69991799928862e-14,42.307507156748,"CC","znf207"
"zfp428",4.28819217357988e-19,-0.57846268779133,0,0.303,1.72432495491821e-14,42.2932515275228,"CC","zfp428"
"gpr152",4.28819217357988e-19,-0.609302144076626,0,0.303,1.72432495491821e-14,42.2932515275228,"CC","gpr152"
"mtx2",4.28823744152887e-19,-0.521131682943173,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","mtx2"
"1500011b03rik",4.28823744152887e-19,-0.553808668730214,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","1500011b03rik"
"0610009b22rik",4.28823744152887e-19,-0.59090900738163,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","0610009b22rik"
"mthfd2l",4.28823744152887e-19,-0.648945937613565,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","mthfd2l"
"stox2",4.28823744152887e-19,-0.664016360399526,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","stox2"
"5430419d17rik",4.28823744152887e-19,-0.693352649151796,0,0.303,1.72434315761317e-14,42.2932409711606,"CC","5430419d17rik"
"cfl1",4.38953282958451e-19,-0.521041717452905,0.139,0.657,1.76507504610423e-14,42.2698939624136,"CC","cfl1"
"tmem30a",4.74668901511924e-19,-0.300966245502631,0.078,0.52,1.9086911198696e-14,42.1916694413408,"CC","tmem30a"
"coa3",4.76461097652149e-19,-0.440518910601375,0.056,0.457,1.91589771976906e-14,42.1879008749769,"CC","coa3"
"acyp1",4.78269209670038e-19,-0.581185160912043,0.039,0.411,1.92316831900419e-14,42.1841131787747,"CC","acyp1"
"gpr162",5.09520836803004e-19,-0.542526972790148,0.017,0.354,2.04883423686856e-14,42.1208162044773,"CC","gpr162"
"hcfc1r1",6.02549008299626e-19,-0.477903769066552,0.017,0.354,2.42290981727363e-14,41.9531179492421,"CC","hcfc1r1"
"vamp8",6.11513257094139e-19,-0.594558708179213,0.004,0.314,2.45895595810124e-14,41.9383503183521,"CC","vamp8"
"ndufb8",6.1382591697742e-19,-0.629737437203926,0.16,0.674,2.4682553947579e-14,41.9345755877661,"CC","ndufb8"
"psma1",6.33070745973444e-19,-0.461146067182144,0.061,0.469,2.54564077663382e-14,41.9037047739846,"CC","psma1"
"lamtor3",6.81944978434622e-19,-0.442279834999034,0.03,0.389,2.74216895278346e-14,41.8293379750681,"CC","lamtor3"
"brd8",7.09743388400045e-19,-0.57684640225942,0.078,0.509,2.85394913909542e-14,41.789383472958,"CC","brd8"
"chchd1",7.25559361511759e-19,-0.397974366031899,0.065,0.48,2.91754674857493e-14,41.7673440623793,"CC","chchd1"
"swt1",7.54489027371724e-19,-0.540005934467074,0.013,0.337,3.03387582796444e-14,41.7282462176864,"CC","swt1"
"fis1",7.97669573464197e-19,-0.339966072935886,0.074,0.503,3.20750912185688e-14,41.6725925095157,"CC","fis1"
"ubtd1",8.8768732158225e-19,-0.637229466987845,0.017,0.349,3.56947948881438e-14,41.5656673872253,"CC","ubtd1"
