"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"rhbdf2",1.22092491059141e-21,1.2965506729542,0.64,0,4.90946115797912e-17,48.1546782579246,"M","rhbdf2"
"s100a11",1.55905265429013e-21,2.0398739465782,0.68,0.017,6.26910662816606e-17,47.9102085889693,"M","s100a11"
"sat1",6.68776545647615e-21,2.74491306060344,0.92,0.246,2.68921736770362e-16,46.4540071470143,"M","sat1"
"ccl4",6.85206049325627e-21,3.67415888811094,0.62,0,2.75528204494328e-16,46.4297375438974,"M","ccl4"
"c3",6.85206049325627e-21,2.03545047821179,0.62,0,2.75528204494328e-16,46.4297375438974,"M","c3"
"ms4a7",6.85206049325627e-21,1.83559462130833,0.62,0,2.75528204494328e-16,46.4297375438974,"M","ms4a7"
"olr1",6.85206049325627e-21,1.69553301460148,0.62,0,2.75528204494328e-16,46.4297375438974,"M","olr1"
"gltscr2",6.85206049325627e-21,1.46071838686285,0.62,0,2.75528204494328e-16,46.4297375438974,"M","gltscr2"
"c19orf53",6.85206049325627e-21,1.25534737857294,0.62,0,2.75528204494328e-16,46.4297375438974,"M","c19orf53"
"snhg8",6.85206049325627e-21,1.2550825552205,0.62,0,2.75528204494328e-16,46.4297375438974,"M","snhg8"
"rps3a1",8.38413734281134e-21,-3.48833102934151,0,0.89,3.37134546691787e-16,46.2279454438928,"M","rps3a1"
"lgals1",1.05717857548446e-20,1.77685138382825,0.64,0.008,4.25102076988057e-16,45.9960982216765,"M","lgals1"
"uba52",1.11765622127213e-20,1.88177571101717,0.9,0.178,4.49420743135735e-16,45.940468026824,"M","uba52"
"ier2",1.23386074478765e-20,2.86879877689179,0.7,0.042,4.96147744086563e-16,45.841553789398,"M","ier2"
"rel",1.3858802314651e-20,1.78533311817081,0.7,0.034,5.5727629987443e-16,45.7253663759314,"M","rel"
"malat1",1.72558014492234e-20,-4.03699786804029,0,0.881,6.93873032074724e-16,45.5061385500421,"M","malat1"
"h3f3b",1.91699579798506e-20,1.76114705053462,0.98,0.449,7.70843180327773e-16,45.4009425877942,"M","h3f3b"
"pgk1",1.97251999540993e-20,1.72719567892281,0.68,0.025,7.93170015354286e-16,45.3723899491045,"M","pgk1"
"gstp1",3.03536057609788e-20,1.66390912983153,0.68,0.034,1.22054884125472e-15,44.9413716364633,"M","gstp1"
"junb",3.1347795538106e-20,2.23722360293503,0.78,0.085,1.26052620638278e-15,44.9091430060322,"M","junb"
"ftl1",3.52399594897371e-20,-3.5709042686185,0,0.873,1.41703401104182e-15,44.7921063013611,"M","ftl1"
"fcgr2a",3.77059101170788e-20,1.60548957538692,0.6,0,1.51619235171786e-15,44.7244701036764,"M","fcgr2a"
"qki",3.77059101170788e-20,1.41938889358361,0.6,0,1.51619235171786e-15,44.7244701036764,"M","qki"
"c19orf43",3.77059101170788e-20,1.14270763818404,0.6,0,1.51619235171786e-15,44.7244701036764,"M","c19orf43"
"gsn",6.9493037121156e-20,1.43164954598222,0.62,0.008,2.7943845156788e-15,44.1130603906302,"M","gsn"
"atp5g2",1.10824740398751e-19,1.60153400979164,0.64,0.017,4.45637363617416e-15,43.6463369146896,"M","atp5g2"
"srgn",1.80367181573654e-19,2.14743275277087,0.86,0.203,7.25274473825819e-15,43.1592922821194,"M","srgn"
"mcl1",1.88505598055592e-19,1.85667129638489,0.8,0.102,7.57999860341342e-15,43.1151592485202,"M","mcl1"
"cebpd",1.97113467160347e-19,2.33050754638893,0.72,0.076,7.9261296279847e-15,43.0705074145139,"M","cebpd"
"ctd-3252c9.4",2.03502639875439e-19,2.0228994272689,0.58,0,8.18304465203129e-15,43.0386079757156,"M","ctd-3252c9.4"
"a2m",2.03502639875439e-19,1.73198003634552,0.58,0,8.18304465203129e-15,43.0386079757156,"M","a2m"
"ms4a6a",2.03502639875439e-19,1.40575937872432,0.58,0,8.18304465203129e-15,43.0386079757156,"M","ms4a6a"
"c11orf31",2.03502639875439e-19,1.38503397979362,0.58,0,8.18304465203129e-15,43.0386079757156,"M","c11orf31"
"c4orf3",2.03502639875439e-19,1.36840500670247,0.58,0,8.18304465203129e-15,43.0386079757156,"M","c4orf3"
