"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1110038f14rik",3.6020346299126e-07,-0.702588064905333,0,0.299,0.0144841414503416
"arhgdia",3.74564649782531e-07,-0.99497584218867,0.435,0.604,0.0150616191324054
"ap2m1",3.80604329677371e-07,0.684374805871393,0.551,0.274,0.0153044807006568
"kank1",3.81453175422585e-07,0.713379013357953,0.362,0.096,0.0153386136369175
"nudt5",3.88215665618202e-07,0.394901555584925,0.333,0.081,0.0156105401301735
"atm",3.95616488383131e-07,0.502202068168674,0.304,0.061,0.0159081346143741
"psmg2",4.00460723285949e-07,0.348389660703519,0.391,0.107,0.0161029261440513
"gsk3b",4.07834547222789e-07,-1.12391058305531,0.246,0.497,0.0163994349783756
"exosc1",4.15218922030152e-07,0.325367020811393,0.377,0.096,0.0166963680737544
"tmed8",4.23225071329953e-07,0.554402540245109,0.275,0.051,0.0170183033432488
"napb",4.32745785117155e-07,0.924906682935613,0.333,0.081,0.0174011407653459
"st6galnac2",4.36173518822056e-07,-0.697957495886261,0.014,0.315,0.0175389733653537
"narf",4.36474536714436e-07,0.460695676530711,0.348,0.091,0.0175510775958242
"pop7",4.62096174780924e-07,0.256226126638893,0.362,0.091,0.0185813492841157
"herc2",4.7682583866514e-07,1.17579719994608,0.551,0.269,0.019173643798564
"nxpe4",4.76890060160041e-07,-0.630134817039779,0,0.294,0.0191762262090954
"9530068e07rik",4.76893889292307e-07,-0.572393778928183,0,0.294,0.019176380182333
"naxe",4.76893889292307e-07,-0.677357453811895,0,0.294,0.019176380182333
"sema7a",4.96973928904669e-07,-0.849048918573014,0.029,0.33,0.0199838186551856
"rragb",5.36405409709779e-07,0.261480603661079,0.145,0.005,0.0215693979298399
"coil",5.52898596568478e-07,0.315161622090836,0.246,0.041,0.0222326054666151
"tuba1c",5.71050906762002e-07,0.366780633611619,0.333,0.081,0.0229625280118069
"tspo",5.73434076211341e-07,-0.999058049858611,0.319,0.543,0.0230583576385342
"cdh11",5.80161881664945e-07,0.457302111799505,0.275,0.051,0.0233288894236291
"rab31",5.96436076340607e-07,0.401560765095457,0.319,0.071,0.0239832910657321
"neil2",5.98418733682356e-07,0.271967937305354,0.145,0.005,0.0240630157001012
"tspan7",5.99098685608629e-07,0.342966537583582,0.406,0.112,0.0240903572470086
"plekhb2",6.02697495100328e-07,0.443888169877529,0.362,0.091,0.0242350689754793
"mlec",6.07761223576804e-07,0.637275867273644,0.377,0.112,0.0244386865612469
"adar",6.08670869514714e-07,0.362293572226297,0.493,0.178,0.0244752643340562
"mob3b",6.2597631901033e-07,0.485454140494307,0.333,0.081,0.0251711337637244
"pak1ip1",6.27586382346318e-07,-0.827999402777659,0.072,0.371,0.0252358760205278
"1810058i24rik",6.30184106451877e-07,-0.722521964364981,0,0.289,0.0253403331045364
"mcrip1",6.30189129446101e-07,-0.64536687223258,0,0.289,0.0253405350841572
"mindy1",6.30189129446101e-07,-0.645578122049252,0,0.289,0.0253405350841572
"rtl8b",6.30189129446101e-07,-0.693559201274459,0,0.289,0.0253405350841572
"selenot",6.30189129446101e-07,-0.72605030674425,0,0.289,0.0253405350841572
"ac149090.1",6.30189129446101e-07,-0.74778654178482,0,0.289,0.0253405350841572
"naxd",6.30189129446101e-07,-0.759504184888466,0,0.289,0.0253405350841572
"4932438a13rik",6.30189129446101e-07,-0.765807399574374,0,0.289,0.0253405350841572
"car2",6.30189129446101e-07,-0.996947761338744,0,0.289,0.0253405350841572
"pde6a",6.39748340117008e-07,0.805897713985912,0.406,0.132,0.025724920504445
"tfg",6.58333943381191e-07,0.465233869894296,0.464,0.162,0.0264722661973011
"mmadhc",6.69546196606842e-07,0.495779420302733,0.435,0.132,0.0269231221117577
"srsf4",6.83656824452943e-07,0.667285920145477,0.493,0.198,0.0274905245680773
"vezt",7.23628305075581e-07,0.447923146825075,0.348,0.091,0.0290978177753942
"lzic",7.24504875489468e-07,0.335783211859116,0.261,0.046,0.029133065548307
"ttc37",7.51498030501065e-07,0.58075736859132,0.333,0.081,0.0302184873044783
"commd6",7.87477178031351e-07,0.56981207818025,0.522,0.213,0.0316652448058187
"serping1",7.88867200905244e-07,0.546727788523383,0.464,0.162,0.0317211390156008
"zfp36l2",8.0723549255453e-07,0.365746477854118,0.348,0.096,0.0324597463911102
"bola2",8.3119626031351e-07,-0.589799330400841,0,0.284,0.0334232328234666
"zfp366",8.3119626031351e-07,-0.609970799243478,0,0.284,0.0334232328234666
"h2-t22",8.3119626031351e-07,-0.633637438799061,0,0.284,0.0334232328234666
"car5a",8.3119626031351e-07,-0.819480616196842,0,0.284,0.0334232328234666
"myadm",8.39248728484392e-07,1.02251109969077,0.507,0.218,0.0337470306210859
"syt1",8.69642493884168e-07,0.840242095929651,0.406,0.127,0.0349691943215763
"serp1",8.75358182214977e-07,0.287876114349658,0.478,0.173,0.0351990278650464
"uck1",8.80290917652668e-07,0.431778122155341,0.275,0.056,0.0353973780897314
"fam20c",8.99677045007308e-07,0.394225397331664,0.174,0.015,0.0361769136567889
"swt1",9.00024871647521e-07,-0.65713064300585,0.029,0.32,0.0361909001138184
"ankrd13d",9.03462433693506e-07,0.724123658457893,0.203,0.025,0.0363291279212496
"atox1",9.04637679661416e-07,-0.987115350256618,0.464,0.609,0.0363763857368652
"mllt1",9.10543453190155e-07,0.760923213228484,0.275,0.056,0.0366138627962293
"rpl37",9.6096141569688e-07,-0.417935794781172,0.609,0.883,0.0386412194865872
"polg2",9.78140221552742e-07,0.599355015167616,0.217,0.03,0.0393319964488573
