"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"tfrc",0.063959249854428,-0.262333054501608,0.065,0.145,1,2.74950911943995,"HC","tfrc"
"abce1",0.064231751424344,0.458548628066897,0.157,0.072,1,2.74525762007324,"HC","abce1"
"mrps18c",0.0643395258567492,0.460789254508747,0.118,0.043,1,2.74358112653709,"HC","mrps18c"
"tars",0.06435004973258,0.36183768318116,0.144,0.058,1,2.74341757209523,"HC","tars"
"tet3",0.064669219059456,-0.469166488865266,0.039,0.101,1,2.73846993937425,"HC","tet3"
"kif3c",0.0647886078678463,0.436651807012413,0.157,0.072,1,2.73662549558788,"HC","kif3c"
"rpl30",0.064950826499668,-0.350407844798477,0.314,0.406,1,2.73412481077839,"HC","rpl30"
"parp2",0.0649835659388125,0.63972733160907,0.118,0.043,1,2.7336208727644,"HC","parp2"
"plag1",0.0649835659388125,0.558551184765686,0.118,0.043,1,2.7336208727644,"HC","plag1"
"tmem55b",0.0658793291378578,0.356936115745537,0.183,0.087,1,2.71993055681717,"HC","tmem55b"
"sppl2b",0.0661182346721767,0.292643612069352,0.124,0.043,1,2.71631070523364,"HC","sppl2b"
"irf2bpl",0.0662923738720458,-0.461955108676895,0.039,0.101,1,2.71368041296051,"HC","irf2bpl"
"scaf8",0.0663095482848845,-0.528369512734669,0.059,0.13,1,2.71342137579642,"HC","scaf8"
"zmym2",0.0664601380130848,0.347705753041586,0.222,0.116,1,2.71115293942401,"HC","zmym2"
"srp68",0.0667172301764993,0.303262702238933,0.144,0.058,1,2.70729203593458,"HC","srp68"
"pop5",0.0670176414359048,-0.417523005078548,0.059,0.13,1,2.70279938923635,"HC","pop5"
"endog",0.0671164520311414,-0.364211467463014,0.039,0.101,1,2.70132607830463,"HC","endog"
"naa10",0.0677840081389242,0.566596911159571,0.137,0.058,1,2.69142898001452,"HC","naa10"
"ndufs8",0.0682155346527909,0.357629428638653,0.157,0.072,1,2.68508295923812,"HC","ndufs8"
